Column1;Genero;Edad;Altura;Peso;FAVC;FCVC;CH2O;FAF;TUE;CALC;TransporteUtilizado
46;Mujer;21;153;65;No;Si;Siempre;10;10;Aveces;TransportePublico
47;Hombre;21;182;72;Si;No;RaraVez;20;30;Aveces;TransportePublico
48;Hombre;21;175;72;Si;No;RaraVez;20;30;Aveces;TransportePublico
49;Mujer;20;166;60;No;Si;RaraVez;10;30;Aveces;Caminar
50;Mujer;21;155;78;Si;Si;Siempre;10;30;Aveces;TransportePublico
51;Mujer;21;161;89;Si;No;RaraVez;10;10;Aveces;Caminar
52;Mujer;20;158;99;Si;Si;RaraVez;10;30;Aveces;Automovil
53;Mujer;23;164;70;Si;No;RaraVez;20;20;Frecuentemente;TransportePublico
54;Mujer;23;163;102;No;No;RaraVez;20;10;Frecuentemente;TransportePublico
55;Mujer;22;160;102;No;No;RaraVez;20;30;No;TransportePublico
56;Hombre;23;168;102;No;No;RaraVez;10;30;Aveces;Automovil
57;Hombre;22;170;70;Si;No;RaraVez;10;10;Aveces;Automovil
58;Hombre;21;164;65;No;No;RaraVez;10;10;Frecuentemente;TransportePublico
59;Mujer;17;165;67;Si;No;RaraVez;10;10;Frecuentemente;Caminar
60;Hombre;20;176;102;Si;No;RaraVez;20;20;No;TransportePublico
61;Mujer;21;155;140;Si;Si;RaraVez;30;10;Aveces;TransportePublico
62;Hombre;20;165;58;Si;Si;RaraVez;30;10;Aveces;TransportePublico
63;Hombre;22;167;62;Si;No;RaraVez;10;30;Aveces;TransportePublico
64;Hombre;22;168;102;Si;No;RaraVez;10;20;Siempre;Automovil
65;Mujer;21;166;102;Si;No;RaraVez;10;10;Siempre;TransportePublico
66;Mujer;21;162;102;Si;No;RaraVez;10;10;Siempre;TransportePublico
67;Hombre;23;180;102;Si;No;RaraVez;10;20;Frecuentemente;TransportePublico
68;Hombre;23;165;102;Si;No;RaraVez;10;10;Frecuentemente;Automovil
69;Hombre;30;176;112;Si;No;RaraVez;10;30;Frecuentemente;Automovil
70;Hombre;23;180;60;No;No;RaraVez;10;10;Aveces;TransportePublico
71;Mujer;23;165;80;Si;No;RaraVez;10;20;No;TransportePublico
72;Mujer;22;167;78;No;Si;RaraVez;20;10;Aveces;TransportePublico
73;Mujer;24;165;112;No;No;RaraVez;10;30;Aveces;TransportePublico
74;Hombre;19;185;112;No;No;RaraVez;20;10;Aveces;Cicla
75;Hombre;24;170;85;Si;Si;RaraVez;10;10;Frecuentemente;TransportePublico
76;Mujer;23;163;89;No;No;RaraVez;20;30;Frecuentemente;TransportePublico
77;Mujer;24;160;89;No;No;RaraVez;10;30;Frecuentemente;TransportePublico
78;Mujer;24;170;80;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
79;Mujer;23;165;90;Si;Si;RaraVez;10;10;Frecuentemente;TransportePublico
80;Hombre;23;165;60;No;No;RaraVez;10;30;Aveces;TransportePublico
81;Mujer;19;163;112;No;Si;RaraVez;10;30;Siempre;TransportePublico
82;Hombre;30;180;91;Si;No;RaraVez;10;30;Aveces;TransportePublico
83;Hombre;23;167;85;Si;No;Siempre;10;10;Aveces;TransportePublico
84;Mujer;19;160;89;No;Si;RaraVez;20;30;Aveces;Caminar
85;Hombre;25;176;83;Si;Si;RaraVez;10;10;Aveces;TransportePublico
86;Hombre;23;165;58;No;No;Siempre;10;30;Frecuentemente;TransportePublico
87;Hombre;21;185;83;Si;Si;RaraVez;10;30;Frecuentemente;TransportePublico
88;Hombre;19;182;87;Si;Si;RaraVez;10;30;Frecuentemente;TransportePublico
89;Mujer;22;165;65;Si;Si;RaraVez;10;30;Frecuentemente;Automovil
90;Mujer;29;173;78;Si;No;RaraVez;20;10;Frecuentemente;Automovil
91;Mujer;25;163;93;No;No;Siempre;20;30;No;TransportePublico
92;Mujer;20;161;64;No;No;Siempre;10;10;Frecuentemente;TransportePublico
93;Hombre;55;178;84;No;Si;RaraVez;30;30;Frecuentemente;Caminar
94;Mujer;20;169;102;No;No;RaraVez;10;30;Aveces;Caminar
95;Mujer;24;164;127;Si;Si;RaraVez;20;30;Aveces;TransportePublico
96;Hombre;26;176;170;No;Si;Siempre;20;30;Aveces;TransportePublico
97;Mujer;23;166;60;No;No;Siempre;30;30;Aveces;TransportePublico
98;Mujer;21;152;84;No;No;RaraVez;10;30;Aveces;TransportePublico
99;Hombre;23;172;70;No;No;Siempre;30;10;Frecuentemente;TransportePublico
100;Mujer;21;169;63;Si;Si;RaraVez;10;30;Aveces;TransportePublico
101;Hombre;22;172;66;No;No;Siempre;10;30;Siempre;TransportePublico
102;Mujer;21;155;170;Si;No;RaraVez;20;30;Aveces;Automovil
103;Mujer;22;165;170;Si;No;RaraVez;10;30;Aveces;TransportePublico
104;Mujer;38;156;170;Si;Si;RaraVez;10;30;Aveces;Automovil
105;Mujer;25;157;55;Si;No;RaraVez;20;30;Aveces;TransportePublico
106;Hombre;22;188;90;Si;Si;Siempre;10;10;Aveces;Automovil
107;Hombre;22;175;95;No;No;RaraVez;30;20;Frecuentemente;Caminar
108;Mujer;21;165;88;Si;No;RaraVez;20;10;Frecuentemente;TransportePublico
109;Hombre;21;175;170;Si;Si;RaraVez;10;10;Aveces;TransportePublico
110;Mujer;22;158;170;Si;Si;RaraVez;10;30;Aveces;TransportePublico
111;Mujer;18;156;87;Si;No;RaraVez;10;30;Aveces;TransportePublico
112;Mujer;22;158;140;No;No;Siempre;30;30;Aveces;Caminar
113;Mujer;19;161;62;Si;No;RaraVez;10;30;Frecuentemente;TransportePublico
114;Mujer;17;175;57;Si;No;Siempre;10;10;Frecuentemente;TransportePublico
115;Mujer;15;165;86;Si;Si;RaraVez;30;20;Frecuentemente;Caminar
116;Mujer;17;175;85;No;No;RaraVez;10;10;Frecuentemente;TransportePublico
117;Hombre;23;162;60;Si;No;Siempre;10;10;Frecuentemente;TransportePublico
118;Mujer;19;163;76;No;Si;RaraVez;20;10;Aveces;Automovil
119;Mujer;23;167;75;Si;No;RaraVez;10;20;Aveces;Caminar
120;Hombre;23;187;95;Si;No;RaraVez;10;20;Frecuentemente;TransportePublico
121;Hombre;21;175;78;No;No;RaraVez;10;30;Aveces;Caminar
122;Hombre;24;166;67;Si;No;Siempre;10;30;Aveces;TransportePublico
123;Hombre;23;176;90;Si;No;RaraVez;10;30;Aveces;TransportePublico
124;Hombre;18;175;80;Si;Si;Siempre;10;30;Frecuentemente;TransportePublico
125;Hombre;19;167;68;Si;Si;RaraVez;10;30;Aveces;TransportePublico
126;Mujer;19;165;61;Si;Si;RaraVez;10;30;Aveces;TransportePublico
127;Hombre;20;172;70;Si;Si;RaraVez;10;30;Aveces;TransportePublico
128;Hombre;27;170;78;Si;No;RaraVez;10;10;Frecuentemente;TransportePublico
129;Mujer;20;158;60;Si;No;RaraVez;10;10;Siempre;TransportePublico
130;Hombre;23;162;58;No;No;RaraVez;10;30;Siempre;TransportePublico
131;Mujer;19;165;56;Si;Si;RaraVez;10;20;Frecuentemente;TransportePublico
132;Mujer;61;165;66;Si;Si;RaraVez;10;10;Frecuentemente;TransportePublico
133;Hombre;30;177;109;Si;No;RaraVez;20;30;Aveces;Automovil
134;Hombre;24;170;75;Si;No;RaraVez;10;30;Aveces;Automovil
135;Hombre;25;179;72;Si;No;RaraVez;10;10;Aveces;TransportePublico
136;Hombre;44;160;80;No;No;RaraVez;10;30;Aveces;Moto
137;Hombre;31;176;75;No;Si;RaraVez;30;30;Aveces;Cicla
138;Hombre;25;175;68;Si;No;RaraVez;10;10;Aveces;TransportePublico
139;Hombre;23;189;65;Si;No;RaraVez;10;10;Aveces;TransportePublico
140;Hombre;25;187;66;Si;No;RaraVez;20;30;Frecuentemente;TransportePublico
141;Hombre;23;174;93;Si;No;RaraVez;10;10;Frecuentemente;Automovil
142;Mujer;34;168;75;Si;No;RaraVez;10;30;Aveces;Automovil
143;Hombre;22;161;67;No;Si;RaraVez;20;20;Aveces;TransportePublico
144;Hombre;21;162;70;Si;Si;Siempre;10;30;Aveces;TransportePublico
145;Mujer;24;156;87;No;No;Siempre;20;20;Frecuentemente;TransportePublico
146;Mujer;36;163;80;No;Si;RaraVez;10;30;Aveces;Automovil
147;Mujer;27;163;61;Si;Si;Siempre;10;30;Aveces;Automovil
148;Mujer;32;167;90;Si;No;RaraVez;20;30;Aveces;Automovil
149;Hombre;25;178;78;Si;No;RaraVez;20;10;Aveces;TransportePublico
150;Mujer;30;162;59;Si;Si;RaraVez;20;30;Aveces;Automovil
151;Mujer;38;158;60;Si;No;Siempre;10;30;Aveces;Automovil
152;Hombre;34;169;84;No;No;Siempre;20;30;No;Automovil
153;Hombre;22;174;94;Si;No;RaraVez;10;30;Aveces;TransportePublico
154;Mujer;31;168;63;Si;No;RaraVez;10;10;Aveces;Automovil
155;Mujer;35;153;89;No;No;RaraVez;10;10;No;Automovil
156;Hombre;21;167;60;Si;No;RaraVez;20;10;Aveces;TransportePublico
157;Mujer;40;155;62;No;Si;RaraVez;10;30;Aveces;Automovil
158;Hombre;27;164;78;Si;No;Siempre;10;30;Frecuentemente;Automovil
159;Hombre;20;183;72;No;No;Siempre;20;10;Aveces;TransportePublico
160;Hombre;55;165;80;Si;No;RaraVez;10;30;Siempre;Automovil
161;Mujer;21;163;60;Si;No;RaraVez;20;30;Siempre;TransportePublico
162;Hombre;25;189;75;No;Si;RaraVez;30;30;Siempre;TransportePublico
163;Hombre;35;177;85;No;Si;RaraVez;20;10;Aveces;Automovil
164;Hombre;30;192;130;No;No;RaraVez;10;30;Aveces;TransportePublico
165;Mujer;29;174;72;No;Si;RaraVez;10;30;Aveces;Automovil
166;Hombre;20;165;80;No;No;RaraVez;10;20;Siempre;Caminar
167;Mujer;22;173;79;Si;No;RaraVez;10;30;Aveces;TransportePublico
168;Mujer;45;163;77;Si;No;RaraVez;10;30;Siempre;Automovil
169;Hombre;22;172;82;Si;Si;RaraVez;20;10;Aveces;TransportePublico
170;Hombre;18;160;58;Si;No;RaraVez;10;30;Aveces;TransportePublico
171;Mujer;23;165;59;No;No;RaraVez;10;20;Aveces;TransportePublico
172;Hombre;18;174;64;No;No;RaraVez;10;10;Siempre;TransportePublico
173;Mujer;38;164;59;Si;No;RaraVez;20;30;Siempre;TransportePublico
174;Mujer;18;157;127;Si;Si;RaraVez;10;30;Siempre;TransportePublico
175;Hombre;22;184;84;Si;No;RaraVez;30;30;Aveces;TransportePublico
176;Hombre;26;191;84;Si;Si;RaraVez;20;20;Frecuentemente;TransportePublico
177;Mujer;18;158;127;Si;No;RaraVez;10;30;Siempre;TransportePublico
178;Mujer;23;168;67;Si;Si;RaraVez;10;30;Siempre;TransportePublico
179;Mujer;22;168;70;Si;No;RaraVez;10;10;Siempre;TransportePublico
180;Mujer;23;148;60;Si;No;RaraVez;10;30;Aveces;TransportePublico
181;Mujer;31;162;68;No;Si;RaraVez;10;30;Aveces;Automovil
182;Hombre;39;178;96;No;No;RaraVez;10;30;Frecuentemente;Automovil
183;Hombre;25;178;98;No;No;RaraVez;30;20;Siempre;TransportePublico
184;Hombre;35;178;105;Si;Si;RaraVez;30;10;Frecuentemente;Automovil
185;Mujer;33;163;90;Si;No;RaraVez;10;10;Siempre;TransportePublico
186;Hombre;20;164;95;Si;No;RaraVez;10;30;Aveces;TransportePublico
187;Hombre;26;175;80;Si;No;RaraVez;20;30;Aveces;TransportePublico
188;Hombre;20;183;85;No;No;RaraVez;30;30;Aveces;Automovil
189;Hombre;20;178;68;No;No;RaraVez;20;10;No;TransportePublico
190;Mujer;23;165;83;Si;Si;RaraVez;30;30;No;TransportePublico
191;Hombre;19;184;85;Si;No;RaraVez;10;10;Aveces;Caminar
192;Hombre;22;175;74;No;No;RaraVez;10;20;Aveces;Cicla
193;Hombre;41;175;118;Si;No;RaraVez;10;30;Aveces;Cicla
194;Mujer;18;159;120;Si;No;Siempre;10;20;No;TransportePublico
195;Mujer;23;166;90;Si;No;RaraVez;10;10;Aveces;TransportePublico
196;Mujer;23;163;95;No;Si;RaraVez;10;20;Aveces;TransportePublico
197;Mujer;41;154;80;Si;No;Siempre;10;30;Aveces;Automovil
198;Mujer;26;156;110;Si;No;RaraVez;10;10;Aveces;TransportePublico
199;Hombre;29;169;90;No;No;Siempre;10;30;Aveces;Automovil
200;Hombre;27;183;90;Si;Si;RaraVez;30;20;No;Automovil
201;Mujer;23;166;95;Si;Si;RaraVez;10;30;Frecuentemente;TransportePublico
202;Hombre;19;175;110;Si;Si;Siempre;20;30;No;TransportePublico
203;Hombre;30;175;73;No;No;Siempre;10;30;Aveces;Caminar
204;Mujer;22;169;90;Si;No;RaraVez;10;10;Aveces;TransportePublico
205;Hombre;20;187;95;Si;No;Siempre;10;10;Aveces;TransportePublico
206;Mujer;21;163;87;Si;No;RaraVez;10;10;Aveces;TransportePublico
207;Mujer;24;153;63;No;Si;RaraVez;10;30;Aveces;TransportePublico
208;Hombre;21;187;62;Si;No;Siempre;10;30;Siempre;TransportePublico
209;Hombre;21;165;60;Si;No;Siempre;10;30;Aveces;TransportePublico
210;Hombre;21;168;70;Si;No;Siempre;10;20;Aveces;TransportePublico
211;Mujer;23;164;63;No;No;RaraVez;30;30;Aveces;Caminar
212;Hombre;21;171;75;No;Si;Siempre;30;10;Frecuentemente;Automovil
213;Mujer;21;155;84;No;No;RaraVez;30;30;Siempre;TransportePublico
214;Mujer;21;165;68;Si;Si;RaraVez;10;30;Aveces;TransportePublico
215;Mujer;21;175;78;No;Si;RaraVez;10;20;Frecuentemente;TransportePublico
216;Hombre;23;172;82;Si;Si;RaraVez;10;10;Aveces;TransportePublico
217;Hombre;21;172;66;Si;No;RaraVez;10;20;Siempre;TransportePublico
218;Hombre;22;161;63;Si;No;RaraVez;10;30;Aveces;TransportePublico
219;Hombre;23;163;82;Si;Si;Siempre;10;30;Aveces;TransportePublico
220;Hombre;25;183;121;No;Si;RaraVez;20;30;Aveces;Caminar
221;Mujer;20;160;78;Si;No;RaraVez;10;10;Aveces;Automovil
222;Mujer;24;162;58;Si;Si;RaraVez;10;10;Aveces;TransportePublico
223;Mujer;40;168;80;No;Si;RaraVez;10;30;Aveces;Automovil
224;Hombre;32;175;12;No;No;RaraVez;10;20;Aveces;Automovil
225;Hombre;20;193;91;Si;No;RaraVez;20;30;Aveces;Caminar
226;Hombre;21;163;66;Si;Si;RaraVez;10;30;Aveces;TransportePublico
227;Hombre;51;159;78;No;Si;RaraVez;20;30;No;TransportePublico
228;Hombre;34;168;77;No;No;RaraVez;10;30;Aveces;Automovil
229;Hombre;19;159;140;Si;No;RaraVez;20;30;Siempre;TransportePublico
230;Hombre;19;169;70;No;Si;RaraVez;20;30;Siempre;TransportePublico
231;Hombre;21;166;59;Si;No;RaraVez;30;30;Siempre;Automovil
232;Hombre;19;164;60;Si;No;RaraVez;10;10;Siempre;TransportePublico
233;Hombre;20;162;60;Si;No;RaraVez;10;10;Siempre;TransportePublico
234;Hombre;19;178;64;Si;Si;RaraVez;30;10;Siempre;TransportePublico
235;Hombre;17;163;65;Si;Si;RaraVez;10;10;Siempre;TransportePublico
236;Hombre;22;167;66;Si;Si;RaraVez;30;30;Siempre;Cicla
237;Mujer;20;163;64;Si;No;RaraVez;10;20;Siempre;Automovil
238;Hombre;33;185;99;Si;Si;RaraVez;10;30;Aveces;Automovil
239;Hombre;21;154;140;No;Si;RaraVez;20;30;Aveces;TransportePublico
240;Hombre;20;164;140;No;Si;RaraVez;20;10;Aveces;Automovil
241;Hombre;20;157;60;Si;Si;RaraVez;10;10;Aveces;TransportePublico
242;Hombre;20;162;70;Si;Si;RaraVez;30;10;No;Automovil
243;Hombre;21;172;72;Si;Si;RaraVez;30;30;Aveces;Automovil
244;Hombre;21;176;78;Si;No;RaraVez;30;30;Aveces;Caminar
245;Mujer;20;165;75;Si;No;RaraVez;10;10;No;TransportePublico
246;Hombre;20;167;78;No;No;RaraVez;10;30;Frecuentemente;Automovil
247;Hombre;56;179;90;No;No;RaraVez;10;30;Frecuentemente;Automovil
248;Mujer;26;159;115;Si;No;RaraVez;10;20;Aveces;TransportePublico
249;Mujer;22;164;56;No;No;RaraVez;10;30;No;TransportePublico
250;Hombre;19;178;81;No;No;RaraVez;30;30;No;Cicla
251;Hombre;18;175;85;No;No;RaraVez;10;30;Aveces;TransportePublico
252;Hombre;19;185;115;No;No;RaraVez;10;20;No;TransportePublico
253;Hombre;18;179;80;No;Si;RaraVez;10;30;No;TransportePublico
254;Mujer;18;167;91;Si;No;RaraVez;10;10;Aveces;TransportePublico
255;Hombre;21;172;75;Si;No;RaraVez;10;30;No;TransportePublico
256;Mujer;28;178;73;No;No;RaraVez;20;30;Aveces;Caminar
257;Hombre;18;174;70;Si;No;RaraVez;10;10;Aveces;TransportePublico
258;Hombre;23;174;60;Si;No;RaraVez;30;20;No;TransportePublico
259;Hombre;18;187;67;Si;No;RaraVez;10;10;Aveces;Automovil
260;Hombre;18;176;78;Si;No;RaraVez;20;10;Aveces;TransportePublico
261;Mujer;39;165;78;Si;Si;RaraVez;10;30;Aveces;TransportePublico
262;Hombre;38;164;78;Si;Si;RaraVez;10;30;Frecuentemente;Automovil
263;Hombre;17;157;60;No;No;RaraVez;10;20;No;TransportePublico
264;Hombre;23;162;66;Si;No;RaraVez;10;10;Aveces;Caminar
265;Hombre;23;172;107;Si;Si;RaraVez;10;10;Aveces;TransportePublico
266;Mujer;19;176;78;Si;No;RaraVez;10;20;Aveces;TransportePublico
267;Hombre;18;165;60;Si;No;RaraVez;20;10;No;TransportePublico
268;Hombre;25;167;71;Si;No;RaraVez;10;30;Aveces;Moto
269;Mujer;25;179;61;No;No;RaraVez;20;10;Aveces;TransportePublico
270;Mujer;18;159;78;Si;Si;RaraVez;10;10;Aveces;TransportePublico
271;Hombre;16;164;78;Si;No;RaraVez;10;30;No;TransportePublico
272;Hombre;21;178;67;Si;No;RaraVez;30;20;Aveces;Caminar
273;Mujer;32;175;57;Si;Si;RaraVez;10;30;Aveces;Automovil
274;Hombre;18;185;70;No;No;RaraVez;10;10;Aveces;TransportePublico
275;Hombre;21;175;62;Si;No;RaraVez;10;30;Aveces;TransportePublico
276;Hombre;18;176;55;Si;Si;RaraVez;10;30;Aveces;TransportePublico
277;Mujer;18;162;55;Si;No;RaraVez;10;10;No;TransportePublico
278;Hombre;17;169;60;No;No;RaraVez;20;10;Aveces;Caminar
279;Hombre;20;177;70;Si;No;RaraVez;10;10;Aveces;TransportePublico
280;Hombre;21;179;105;Si;No;RaraVez;10;30;Aveces;TransportePublico
281;Mujer;21;168;61;Si;No;RaraVez;10;10;Aveces;TransportePublico
282;Mujer;18;165;58;Si;No;RaraVez;30;30;No;TransportePublico
283;Mujer;17;156;87;Si;No;RaraVez;10;20;No;TransportePublico
284;Hombre;19;188;79;No;No;RaraVez;30;30;Aveces;Automovil
285;Hombre;16;182;71;Si;Si;RaraVez;20;10;Aveces;TransportePublico
286;Hombre;17;162;58;Si;No;RaraVez;20;10;Siempre;Caminar
287;Hombre;21;152;65;Si;No;RaraVez;10;10;Siempre;TransportePublico
288;Hombre;19;180;75;No;No;RaraVez;10;30;Siempre;TransportePublico
289;Hombre;18;185;69;Si;No;RaraVez;10;20;Aveces;TransportePublico
290;Mujer;16;178;58;No;No;RaraVez;10;10;No;Caminar
291;Mujer;21;162;60;Si;No;RaraVez;20;10;Aveces;TransportePublico
292;Hombre;26;157;80;No;Si;RaraVez;20;30;No;Automovil
293;Hombre;18;164;80;Si;No;RaraVez;10;10;Frecuentemente;TransportePublico
294;Hombre;23;178;75;Si;No;RaraVez;10;20;Aveces;TransportePublico
295;Hombre;26;172;70;Si;Si;RaraVez;10;30;Aveces;TransportePublico
296;Hombre;18;185;55;Si;No;RaraVez;20;10;Aveces;TransportePublico
297;Hombre;16;172;89;Si;No;RaraVez;30;20;Aveces;Caminar
298;Mujer;16;165;140;Si;Si;RaraVez;10;10;Aveces;TransportePublico
299;Hombre;20;188;85;No;No;RaraVez;20;10;Aveces;TransportePublico
300;Hombre;23;177;12;Si;No;RaraVez;20;10;Aveces;TransportePublico
301;Mujer;24;172;60;Si;No;RaraVez;10;20;Aveces;TransportePublico
302;Mujer;23;193;127;Si;No;RaraVez;10;20;Aveces;TransportePublico
303;Hombre;20;153;75;Si;No;RaraVez;20;30;Aveces;TransportePublico
304;Hombre;17;171;57;Si;Si;RaraVez;20;10;Frecuentemente;TransportePublico
305;Hombre;17;165;62;Si;Si;RaraVez;30;10;Frecuentemente;TransportePublico
306;Mujer;16;165;57;Si;Si;RaraVez;30;30;Frecuentemente;TransportePublico
307;Hombre;17;169;56;Si;Si;RaraVez;10;10;Aveces;TransportePublico
308;Mujer;26;165;63;Si;No;RaraVez;10;30;No;Caminar
309;Hombre;26;162;72;Si;No;RaraVez;10;30;Aveces;TransportePublico
310;Hombre;38;185;75;No;No;RaraVez;20;10;Siempre;Automovil
311;Hombre;18;166;70;Si;No;RaraVez;10;10;Siempre;TransportePublico
312;Mujer;25;178;89;Si;No;RaraVez;10;30;Aveces;TransportePublico
313;Mujer;27;165;63;Si;No;RaraVez;10;10;Aveces;Automovil
314;Hombre;21;175;67;Si;Si;RaraVez;10;10;Frecuentemente;TransportePublico
315;Hombre;38;168;75;No;No;RaraVez;30;10;Frecuentemente;Automovil
316;Mujer;23;177;56;No;No;RaraVez;20;30;Frecuentemente;TransportePublico
317;Hombre;18;158;72;Si;No;RaraVez;30;30;Aveces;Automovil
318;Mujer;30;177;71;Si;No;RaraVez;10;30;Aveces;TransportePublico
319;Mujer;21;179;58;Si;Si;RaraVez;10;30;Aveces;TransportePublico
320;Hombre;18;165;55;Si;No;RaraVez;30;30;Aveces;TransportePublico
321;Hombre;23;159;76;No;No;RaraVez;10;30;Aveces;TransportePublico
322;Hombre;19;156;74;No;No;RaraVez;30;10;Aveces;Caminar
323;Mujer;19;164;82;Si;Si;RaraVez;10;10;Aveces;TransportePublico
324;Mujer;17;165;78;Si;Si;RaraVez;20;10;Aveces;TransportePublico
325;Hombre;17;175;56;Si;No;RaraVez;20;10;Siempre;TransportePublico
326;Hombre;27;167;75;Si;Si;RaraVez;10;30;Siempre;Caminar
327;Mujer;23;168;56;No;No;RaraVez;30;30;No;Automovil
328;Mujer;18;166;60;Si;Si;RaraVez;10;20;Frecuentemente;TransportePublico
329;Hombre;19;166;78;Si;No;RaraVez;20;10;Aveces;TransportePublico
330;Hombre;20;181;65;Si;No;RaraVez;10;10;Siempre;TransportePublico
331;Hombre;18;153;64;Si;No;RaraVez;30;20;Siempre;Caminar
332;Mujer;17;182;65;Si;No;RaraVez;10;20;Aveces;TransportePublico
333;Mujer;19;175;84;No;No;RaraVez;20;30;Frecuentemente;TransportePublico
334;Hombre;21;166;72;Si;Si;RaraVez;10;10;No;TransportePublico
335;Hombre;20;155;78;No;No;RaraVez;10;30;Aveces;TransportePublico
336;Hombre;23;161;105;Si;No;RaraVez;10;30;Aveces;TransportePublico
337;Hombre;23;158;66;No;Si;RaraVez;30;30;No;TransportePublico
338;Hombre;18;164;170;Si;Si;RaraVez;20;10;Aveces;TransportePublico
339;Hombre;17;163;55;Si;No;RaraVez;30;10;Aveces;TransportePublico
340;Mujer;21;160;115;No;No;RaraVez;20;30;No;TransportePublico
341;Hombre;17;168;97;Si;No;RaraVez;10;10;Aveces;Caminar
342;Hombre;18;170;80;Si;Si;RaraVez;30;20;No;Caminar
343;Hombre;20;164;125;Si;Si;RaraVez;10;10;Aveces;TransportePublico
344;Hombre;17;165;70;No;No;RaraVez;30;20;Aveces;Caminar
345;Mujer;26;176;60;No;No;RaraVez;20;30;No;Caminar
346;Mujer;17;155;60;Si;No;RaraVez;20;20;Aveces;Caminar
347;Mujer;24;165;87;Si;Si;RaraVez;10;10;Aveces;Automovil
348;Mujer;17;167;59;Si;No;RaraVez;10;20;No;TransportePublico
349;Mujer;27;168;62;Si;No;RaraVez;10;30;Aveces;TransportePublico
350;Hombre;17;166;60;No;Si;RaraVez;30;10;No;Caminar
351;Mujer;17;162;56;Si;No;RaraVez;10;10;No;Automovil
352;Hombre;41;180;69;No;No;RaraVez;10;30;Frecuentemente;Automovil
353;Mujer;33;165;127;No;No;RaraVez;10;30;Aveces;TransportePublico
